from_id,from_label,relationship,to_id,to_label,from_number,to_number
section_3_1,Section,IS_BELONGING_TO,section_3,Section,3.1,3
section_3_2,Section,IS_BELONGING_TO,section_3,Section,3.2,3
section_3_2_1,Section,IS_BELONGING_TO,section_3_2,Section,3.2.1,3.2
section_3_2_2,Section,IS_BELONGING_TO,section_3_2,Section,3.2.2,3.2
section_3_2_3,Section,IS_BELONGING_TO,section_3_2,Section,3.2.3,3.2
section_3_3,Section,IS_BELONGING_TO,section_3,Section,3.3,3
section_3_4,Section,IS_BELONGING_TO,section_3,Section,3.4,3
section_3_5,Section,IS_BELONGING_TO,section_3,Section,3.5,3
section_5_1,Section,IS_BELONGING_TO,section_5,Section,5.1,5
section_5_2,Section,IS_BELONGING_TO,section_5,Section,5.2,5
section_5_3,Section,IS_BELONGING_TO,section_5,Section,5.3,5
section_5_4,Section,IS_BELONGING_TO,section_5,Section,5.4,5
section_6_1,Section,IS_BELONGING_TO,section_6,Section,6.1,6
section_6_2,Section,IS_BELONGING_TO,section_6,Section,6.2,6
section_6_3,Section,IS_BELONGING_TO,section_6,Section,6.3,6
